регион,истец_пол,истец_статус,ответчик_пол,ответчик_статус,случай
Московская область,жен,родитель,пристав,пристав,бездействие пристава
Республика Тыва,опека,опека,муж,родитель,плохой родитель
Московская область,опека,опека,муж и жен,родитель,плохой родитель
Республика Татарстан ,муж,родитель,пристав,пристав,перерасчет
Ставропольский край,опека,опека,жен,родитель,плохой родитель
Ставропольский край,муж,родитель,жен,родитель,алименты
Краснодарский край,муж,родитель,жен,родитель,плохой родитель
Красноярский край,жен,родитель,пристав,пристав,перерасчет
Московская область,муж,родитель,жен,родитель,перерасчет
Белгородская область,муж,родитель,пристав,пристав,перерасчет
Республика Саха ,муж,родитель,пристав,пристав,перерасчет
Амурская область,жен,прародитель,жен,родитель,плохой родитель
Пензенская область,муж,родитель,пристав,пристав,перерасчет
Республика Татарстан ,муж,родитель,пристав,пристав,бездействие пристава
Волгоградская область,опека,опека,муж,родитель,плохой родитель
Краснодарский край,опека,опека,муж и жен,родитель,плохой родитель
Краснодарский край,муж,родитель,пристав,пристав,перерасчет
Республика Адыгея,NaN,NaN,NaN,NaN,NaN
Ростовская область,муж,родитель,жен,родитель,алименты
Челябинская область,муж,родитель,пристав,пристав,перерасчет
Московская область,жен,прародитель,жен,родитель,плохой родитель
Орловская область,жен,прародитель,жен,родитель,плохой родитель
Краснодарский край,муж,родитель,жен,родитель,алименты
Московская область,жен,родитель,муж,родитель,плохой родитель
Республика Дагестан,жен,родитель,пристав,пристав,перерасчет
Омская область,муж,родитель,жен,родитель,перерасчет
Челябинская область,муж,родитель,пристав,пристав,перерасчет
Хабаровский край,пристав,пристав,муж,родитель,фиктивные алименты для укрытия от других долгов
Республика Дагестан,жен,родитель,муж,родитель,алименты
Республика Дагестан,жен,родитель,муж,родитель,алименты
Республика Дагестан,жен,родитель,муж,родитель,алименты
Забайкальский край,муж,родитель,жен,родитель,перерасчет
Тульская область,жен,родитель,пристав,пристав,перерасчет
Московская область,муж,родитель,пристав,пристав,перерасчет
Ивановская область,муж,родитель,пристав,пристав,перерасчет
Хабаровский край,жен,родитель,муж,родитель,плохой родитель
Московская область,опека,опека,муж и жен,родитель,плохой родитель
Ямало-Ненецкий автономный округ,опека,опека,муж и жен,родитель,плохой родитель
Ставропольский край,NaN,NaN,NaN,NaN,NaN
Иркутская область,NaN,NaN,NaN,NaN,NaN
Ленинградская область,муж,родитель,жен,родитель,перерасчет
Карачаево-Черкесская Республика,жен,родитель,муж,родитель,алименты
Московская область,жен,родитель,муж,родитель,перерасчет
Волгоградская область,жен,родитель,пристав,пристав,бездействие пристава
Город Санкт-Петербург,жен,родитель,муж,родитель,алименты
Воронежская область,муж,родитель,жен,родитель,перерасчет
Нижегородская область,опека,опека,муж и жен,родитель,плохой родитель
Ростовская область,NaN,NaN,NaN,NaN,NaN
Ленинградская область,жен,родитель,муж,родитель,алименты
Краснодарский край,жен,родитель,муж,родитель,алименты
Республика Дагестан,жен,родитель,муж,родитель,алименты
Нижегородская область,жен,родитель,муж,родитель,алименты
Волгоградская область,муж,родитель,пристав,пристав,перерасчет
Московская область,муж,родитель,пристав,пристав,перерасчет
Республика Дагестан,жен,родитель,муж,родитель,алименты
Московская область,жен,родитель,пристав,пристав,перерасчет
Смоленская область,муж,родитель,пристав,пристав,перерасчет
Волгоградская область,опека,опека,муж и жен,родитель,плохой родитель
Московская область,жен,родитель,муж,родитель,алименты
Приморский край,муж,родитель,пристав,пристав,перерасчет
Республика Крым,жен,родитель,муж,родитель,алименты
Калининградская область,муж,родитель,пристав,пристав,перерасчет
Удмуртская Республика,муж,родитель,пристав,пристав,перерасчет
Хабаровский край,NaN,NaN,NaN,NaN,NaN
Московская область,муж,родитель,пристав,пристав,перерасчет
Красноярский край,муж,родитель,пристав,пристав,перерасчет
Ростовская область,муж,родитель,пристав,пристав,перерасчет
Волгоградская область,опека,опека,муж и жен,родитель,плохой родитель
Ставропольский край,жен,прародитель,жен,родитель,алименты
Красноярский край,муж,родитель,жен,родитель,алименты
Омская область,жен,родитель,муж,родитель,алименты
Новосибирская область,жен,родитель,муж,родитель,алименты
Республика Татарстан ,NaN,NaN,NaN,NaN,NaN
Республика Хакасия,NaN,NaN,NaN,NaN,NaN
Краснодарский край,жен,родитель,муж,родитель,алименты
Ставропольский край,опека,опека,жен,родитель,плохой родитель
Республика Дагестан,жен,родитель,муж,родитель,алименты
Республика Дагестан,жен,родитель,муж,родитель,алименты
Краснодарский край,жен,прародитель,жен,родитель,алименты
Омская область,муж,родитель,жен,родитель,алименты
Республика Адыгея,жен,родитель,муж,родитель,алименты
Тюменская область,опека,опека,жен,родитель,плохой родитель
Новосибирская область,муж,родитель,жен,родитель,перерасчет
Ставропольский край,опека,опека,муж и жен,родитель,плохой родитель
Московская область,жен,родитель,муж,родитель,алименты
Ставропольский край,опека,опека,муж и жен,родитель,алименты
Ростовская область,муж,родитель,пристав,пристав,перерасчет
Омская область,муж,родитель,пристав,пристав,перерасчет
Московская область,жен,родитель,муж,родитель,алименты
Волгоградская область,опека,опека,муж и жен,родитель,плохой родитель
Курская область,жен,родитель,пристав,пристав,бездействие пристава
Московская область,муж,родитель,пристав,пристав,перерасчет
Забайкальский край,NaN,NaN,NaN,NaN,NaN
Республика Дагестан,жен,родитель,муж,родитель,алименты
Московская область,муж,родитель,пристав,пристав,перерасчет
Архангельская область,NaN,NaN,NaN,NaN,NaN
Ярославская область,NaN,NaN,NaN,NaN,NaN
Пензенская область,муж,родитель,пристав,пристав,перерасчет
Республика Крым,NaN,NaN,NaN,NaN,NaN
Иркутская область,муж,родитель,пристав,пристав,перерасчет
Московская область,жен,родитель,муж,родитель,алименты
Тюменская область,муж,родитель,жен,родитель,алименты
Республика Дагестан,жен,родитель,муж,родитель,алименты
Московская область,муж,родитель,жен,родитель,бездействие пристава
Воронежская область,муж,родитель,пристав,пристав,перерасчет
Город Санкт-Петербург,муж,родитель,пристав,пристав,перерасчет
Город Санкт-Петербург,муж,родитель,жен,родитель,перерасчет
Ивановская область,жен,родитель,пристав,пристав,бездействие пристава
Нижегородская область,муж,родитель,пристав,пристав,перерасчет
Ямало-Ненецкий автономный округ,опека,опека,жен,родитель,плохой родитель
Пермский край,опека,опека,жен,родитель,плохой родитель
Московская область,NaN,NaN,NaN,NaN,NaN
Московская область,опека,опека,муж и жен,родитель,плохой родитель
Красноярский край,муж,родитель,пристав,пристав,перерасчет
Ханты-Мансийский автономный округ-Югра,жен,родитель,пристав,пристав,бездействие пристава
