Гол,Полугодие,Выплачены_добровольно_кол-во,Выплачены_добровольно_сумма,Взыскано_количество,Взыскано_сумма,Находилось_наисполнении_кол-во,Находилось_на_исполнении_сумма,%_взысканных,%_добровольно_оплаченых,%_успех_приставов,Сумма_успех_приставов
2019,2,43380,NaN,52464,8250740000,1572703,213206723000,3.34,82.69,0.58,NaN
2019,1,19981,NaN,24173,3064091000,1174014,167096191000,2.06,82.66,0.36,NaN
2018,2,40426,NaN,50442,7194509000,1560153,191981425000,3.23,80.14,0.64,NaN
2018,1,19620,NaN,24682,2694846000,1196004,158777669000,2.06,79.49,0.42,NaN
2017,2,47884,NaN,55351,9892812000,1579258,179978821000,3.50,86.51,0.47,NaN
2017,1,23161,NaN,26705,4271436000,1224769,158686522000,2.18,86.73,0.29,NaN
2016,2,23021,NaN,27582,4719631000,1261193,152790730000,2.19,83.46,0.36,NaN
2016,1,23021,NaN,27582,4719631000,1261193,152790730000,2.19,83.46,0.36,NaN
2015,2,39515,NaN,46793,9765327000,1638907,167735843000,2.86,84.45,0.44,NaN
2015,1,17406,NaN,20439,3454332000,1288630,131619082000,1.59,85.16,0.24,NaN
2014,2,46369,NaN,52389,6582052000,1708531,163607231000,3.07,88.51,0.35,NaN
2014,1,23147,NaN,24712,NaN,1364715,NaN,1.81,93.67,0.11,NaN
